,teamAbbr,League,Score,isHomeTeam,atBats,Hits,Doubles,Triples,homeRuns,RBI,Walks,Strikeouts,LOB,pitchersUsed,indER,teamER,Errors,battingAverage,OBP,Slugging,OPS,Win
153,CHN,NL,5,1,33,9,4,0,0,4,4,3,8,4,3,3,0,0.272727273,0.351351351,0.393939394,0.745290745,1
154,CHN,NL,4,1,33,9,1,2,1,4,4,5,8,3,5,5,1,0.272727273,0.342105263,0.515151515,0.857256778,0
155,CHN,NL,4,1,31,8,3,0,1,4,3,4,7,6,1,1,1,0.258064516,0.314285714,0.451612903,0.765898618,1
156,CHN,NL,6,1,31,10,2,0,1,5,6,6,8,5,5,5,0,0.322580645,0.432432432,0.483870968,0.9163034,1
157,CHN,NL,7,0,40,12,2,0,2,7,1,8,7,4,4,4,0,0.3,0.317073171,0.5,0.817073171,1
158,CHN,NL,0,0,32,6,1,0,0,0,2,10,7,4,6,6,0,0.1875,0.235294118,0.21875,0.454044118,0
159,CHN,NL,5,0,33,11,6,0,0,5,6,4,9,4,6,6,0,0.333333333,0.435897436,0.515151515,0.951048951,0
160,CHN,NL,5,0,34,8,1,1,0,5,6,7,8,4,4,4,1,0.235294118,0.35,0.323529412,0.673529412,1
161,CHN,NL,2,0,38,11,3,0,1,2,1,8,10,5,9,9,3,0.289473684,0.307692308,0.447368421,0.755060729,0
162,CHN,NL,9,0,40,14,2,0,2,8,2,7,6,5,5,5,0,0.35,0.380952381,0.55,0.930952381,1
163,CHN,NL,0,0,31,6,1,0,0,0,2,7,6,3,5,5,1,0.193548387,0.242424242,0.225806452,0.468230694,0
164,CHN,NL,8,0,42,17,4,0,2,8,1,8,9,6,3,3,1,0.404761905,0.431818182,0.642857143,1.074675325,1
165,CHN,NL,5,0,33,10,1,0,0,3,4,4,7,4,9,9,0,0.303030303,0.378378378,0.333333333,0.711711712,0
166,CHN,NL,1,1,32,5,1,0,0,1,2,4,6,3,0,0,1,0.15625,0.205882353,0.1875,0.393382353,1
167,CHN,NL,2,1,40,9,1,0,1,2,2,8,10,6,1,1,1,0.225,0.261904762,0.325,0.586904762,1
168,CHN,NL,4,1,38,13,2,0,1,4,0,10,7,4,5,5,0,0.342105263,0.342105263,0.473684211,0.815789474,0
169,CHN,NL,2,1,37,8,0,1,0,1,3,8,11,4,12,12,0,0.216216216,0.275,0.27027027,0.54527027,0
170,CHN,NL,10,1,37,16,4,0,0,10,4,8,8,4,7,7,1,0.432432432,0.476190476,0.540540541,1.016731017,1
171,CHN,NL,3,1,37,10,3,0,0,3,1,8,8,5,6,6,2,0.27027027,0.289473684,0.351351351,0.640825036,0
172,CHN,NL,3,1,36,11,1,0,1,3,4,6,12,3,1,1,4,0.305555556,0.380952381,0.416666667,0.797619048,0
173,CHN,NL,2,0,30,5,0,0,1,2,5,7,7,6,11,11,0,0.166666667,0.277777778,0.266666667,0.544444444,0
174,CHN,NL,4,0,35,8,0,1,3,4,1,5,6,4,2,2,0,0.228571429,0.27027027,0.542857143,0.813127413,1
175,CHN,NL,5,0,38,9,2,0,1,5,2,7,8,2,3,3,0,0.236842105,0.275,0.368421053,0.643421053,1
176,CHN,NL,3,0,34,10,5,0,0,3,2,6,6,4,4,4,0,0.294117647,0.333333333,0.441176471,0.774509804,0
177,CHN,NL,2,0,35,8,1,0,1,2,0,6,6,3,4,4,1,0.228571429,0.228571429,0.342857143,0.571428571,0
178,CHN,NL,4,0,31,7,2,0,1,4,4,8,6,3,1,1,0,0.225806452,0.314285714,0.387096774,0.701382488,1
179,CHN,NL,5,0,32,9,0,0,3,5,3,9,3,2,1,1,0,0.28125,0.342857143,0.5625,0.905357143,1
180,CHN,NL,4,1,33,7,0,0,0,2,5,7,8,4,5,5,0,0.212121212,0.333333333,0.212121212,0.545454545,0
181,CHN,NL,3,1,35,11,2,0,2,3,2,6,8,4,2,2,0,0.314285714,0.351351351,0.542857143,0.894208494,1
182,CHN,NL,0,1,33,6,0,0,0,0,2,8,9,3,2,2,0,0.181818182,0.25,0.181818182,0.431818182,0
183,CHN,NL,4,1,36,13,0,0,0,4,3,5,12,5,6,6,0,0.361111111,0.428571429,0.361111111,0.78968254,0
184,CHN,NL,11,1,38,17,3,2,0,11,1,7,5,4,4,4,1,0.447368421,0.475,0.631578947,1.106578947,1
185,CHN,NL,1,1,35,9,2,0,0,1,1,4,8,5,9,9,0,0.257142857,0.277777778,0.314285714,0.592063492,0
186,CHN,NL,11,1,37,14,2,1,0,11,4,8,8,4,4,4,0,0.378378378,0.452380952,0.486486486,0.938867439,1
187,CHN,NL,4,0,35,9,1,0,1,3,3,4,7,5,7,7,0,0.257142857,0.315789474,0.371428571,0.687218045,0
188,CHN,NL,5,0,35,8,2,0,1,5,4,11,8,3,0,0,4,0.228571429,0.325,0.371428571,0.696428571,0
189,CHN,NL,7,0,36,13,1,0,2,6,2,8,7,4,5,5,0,0.361111111,0.384615385,0.555555556,0.94017094,1
190,CHN,NL,5,0,36,9,5,0,1,5,2,9,8,5,1,1,0,0.25,0.325,0.472222222,0.797222222,1
191,CHN,NL,5,0,38,12,3,0,0,4,2,8,10,4,13,13,4,0.315789474,0.380952381,0.394736842,0.775689223,0
192,CHN,NL,9,0,35,9,4,0,0,6,6,7,7,4,3,3,1,0.257142857,0.395348837,0.371428571,0.766777409,1
193,CHN,NL,1,0,32,5,3,0,0,1,0,7,4,5,5,5,1,0.15625,0.15625,0.25,0.40625,0
194,CHN,NL,11,1,37,13,2,1,0,9,4,9,8,3,1,1,0,0.351351351,0.428571429,0.459459459,0.888030888,1
195,CHN,NL,4,1,22,4,2,0,0,4,2,4,3,4,7,7,0,0.181818182,0.28,0.272727273,0.552727273,0
196,CHN,NL,9,1,38,17,3,0,2,8,3,6,9,4,2,2,3,0.447368421,0.476190476,0.684210526,1.160401003,1
197,CHN,NL,2,1,32,5,0,0,1,2,4,5,7,5,2,2,2,0.15625,0.25,0.25,0.5,0
198,CHN,NL,0,1,30,3,1,0,0,0,0,4,3,4,10,10,0,0.1,0.1,0.133333333,0.233333333,0
199,CHN,NL,3,1,27,9,1,0,1,3,0,5,3,4,2,2,0,0.333333333,0.310344828,0.481481481,0.791826309,1
200,CHN,NL,7,1,37,10,1,2,1,5,4,6,8,4,11,11,3,0.27027027,0.357142857,0.486486486,0.843629344,0
201,CHN,NL,3,1,32,7,5,1,0,2,1,5,6,3,7,7,1,0.21875,0.242424242,0.4375,0.679924242,0
202,CHN,NL,1,0,32,5,1,0,0,1,1,9,5,4,6,6,0,0.15625,0.181818182,0.1875,0.369318182,0
203,CHN,NL,4,0,48,12,3,0,1,4,0,9,8,6,5,5,1,0.25,0.25,0.375,0.625,0
204,CHN,NL,2,0,36,7,1,0,0,2,2,7,7,4,3,3,1,0.194444444,0.236842105,0.222222222,0.459064327,0
205,CHN,NL,2,0,33,10,2,0,0,2,1,3,8,4,7,7,1,0.303030303,0.324324324,0.363636364,0.687960688,0
206,CHN,NL,2,0,33,10,3,0,0,2,2,5,7,4,8,8,1,0.303030303,0.342857143,0.393939394,0.736796537,0
207,CHN,NL,4,0,36,9,3,0,2,3,4,6,10,4,1,1,0,0.25,0.325,0.5,0.825,1
208,CHN,NL,4,0,44,11,4,0,1,3,3,8,11,6,3,3,1,0.25,0.3125,0.409090909,0.721590909,1
209,CHN,NL,5,0,36,10,1,1,0,5,4,12,8,3,7,7,1,0.277777778,0.35,0.361111111,0.711111111,0
210,CHN,NL,1,0,30,4,0,0,0,1,2,7,4,3,6,6,2,0.133333333,0.1875,0.133333333,0.320833333,0
