team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
69,Jun 20,1,LAA,"W,12-1",9.0,10,1,1,0,1,10,0,0,3.92,35,147,94,0,0,1,1,34,2,0,0,0,0,1,2,3,Marty Foster,"C.Zambrano (4-63-W), A.Cashner (2), C.Marmol (2)"
70,Jun 22,@,SEA,"L,0-2",8.0,5,2,2,0,2,8,1,0,3.90,31,116,80,1,1,0,0,29,0,0,0,0,0,1,1,1,Bill Miller,R.Dempster (5-70-L)
71,Jun 23,@,SEA,"L,1-8",8.0,11,8,8,0,4,5,1,0,3.97,38,154,88,0,0,1,0,34,1,0,0,0,0,1,1,3,Mike Reilly,"R.Wells (5-29-L), J.Stevens (3), S.Marshall (6)"
72,Jun 24,@,SEA,"W,3-2",13.0,11,2,2,0,5,14,0,0,3.91,54,224,148,3,0,3,0,48,3,0,2,1,0,0,1,7,Chad Fairchild,"T.Lilly (4-64), A.Cashner (3-BSv), S.Marshall (0), C.Marmol (3), J.Grabow (4-W), B.Howry (4-H), T.Gorzelanny (5-Sv)"
73,Jun 25,@,CHW,"L,0-6",8.0,7,6,6,0,2,8,2,0,3.95,34,127,85,1,0,0,0,31,3,0,0,0,1,1,0,5,Paul Emmel,"C.Zambrano (4-30-L), T.Gorzelanny (0), J.Stevens (1), B.Howry (0), S.Marshall (0)"
74,Jun 26,@,CHW,"L,2-3",8.0,4,3,3,0,1,5,1,3,3.94,33,137,87,0,0,1,0,28,1,1,0,0,1,1,0,2,Bill Hohn,"C.Silva (7-61), A.Cashner (1-L)"
75,Jun 27,@,CHW,"W,8-6",9.0,11,6,6,0,4,10,1,0,3.97,39,163,105,0,0,2,1,35,1,0,0,0,0,0,1,3,Gary Darling,"R.Dempster (4-54-W), S.Marshall (1), C.Marmol (2)"
76,Jun 28,1,PIT,"L,1-2",9.0,7,2,2,0,6,10,0,0,3.94,39,167,99,3,1,2,1,32,1,1,0,1,0,0,0,5,Dan Iassogna,"R.Wells (4-64), J.Grabow (3), B.Schlitter (99), A.Cashner (1-L), C.Marmol (0)"
77,Jun 29,1,PIT,"W,3-1",9.0,7,1,1,0,1,8,1,0,3.90,33,128,93,0,0,0,0,32,1,0,0,0,0,0,1,3,Dale Scott,"T.Lilly (4-65-W), S.Marshall (1-H), C.Marmol (0-Sv)"
78,Jun 30,1,PIT,"L,0-2",9.0,7,2,0,2,5,9,0,0,3.85,38,143,93,3,1,0,1,32,1,0,1,1,0,1,1,5,Jerry Meals,"T.Gorzelanny (4-61), B.Schlitter (1), A.Cashner (1-L), S.Marshall (0), B.Howry (4)"
79,Jul 1,1,CIN,"L,2-3",10.0,16,3,3,0,2,9,0,0,3.84,46,154,103,5,1,0,1,43,2,1,0,1,0,0,0,6,Jeff Kellogg,"C.Silva (4-55), J.Russell (19), C.Marmol (1), B.Howry (0-L), S.Marshall (0), J.Stevens (5)"
80,Jul 2,1,CIN,"L,0-12",9.0,9,12,4,8,8,10,2,0,3.84,44,183,101,5,5,1,0,36,2,0,1,0,0,1,1,5,Mark Carlson,"R.Dempster (4-59-L), B.Schlitter (1), B.Howry (0), J.Stevens (0), J.Russell (0)"
81,Jul 3,1,CIN,"W,3-1",9.0,5,1,1,0,2,6,0,0,3.80,33,116,81,1,0,0,0,30,2,0,0,1,0,0,0,2,Larry Vanover,"R.Wells (4-69-W), C.Marmol (1-Sv)"
82,Jul 4,1,CIN,"L,3-14",9.0,16,14,14,0,3,5,7,0,3.93,46,159,107,2,0,0,0,43,1,1,0,0,0,0,0,5,Angel Campos,"T.Lilly (4-19-L), J.Stevens (1), B.Howry (1), J.Russell (1), A.Cashner (3)"
83,Jul 5,@,ARI,"W,9-4",9.0,6,4,4,0,9,12,1,0,3.93,40,176,103,6,1,2,0,29,0,1,0,0,2,0,2,6,Ron Kulpa,"T.Gorzelanny (4-43-W), A.Cashner (0), J.Russell (0-H), J.Berg (57-H), S.Marshall (3-H), C.Marmol (1)"
84,Jul 6,@,ARI,"W,6-4",9.0,7,4,3,1,1,10,1,0,3.92,36,131,95,2,1,0,0,34,2,0,0,0,1,1,1,3,Lance Barksdale,"C.Silva (4-58-W), S.Marshall (0-H), C.Marmol (0-Sv)"
85,Jul 7,@,ARI,"W,8-3",9.0,10,3,3,0,1,10,0,1,3.91,39,152,101,1,0,0,1,37,1,0,0,0,0,1,0,5,Ed Rapuano,"R.Dempster (4-44-W), J.Russell (1-H), A.Cashner (1-H), S.Marshall (0-H), J.Berg (1)"
86,Jul 8,@,LAD,"L,2-3",8.0,6,3,3,0,1,8,1,1,3.90,32,117,72,0,0,1,0,29,1,0,0,1,0,1,1,2,Brian Runge,"R.Wells (4-59-L), J.Russell (0)"
87,Jul 9,@,LAD,"L,7-9",8.0,11,9,7,2,3,3,1,0,3.94,39,135,83,2,0,1,0,33,4,0,0,2,1,1,0,4,Hunter Wendelstedt,"T.Lilly (4-22-L), M.Atkins (99), B.Howry (4), J.Berg (1)"
88,Jul 10,@,LAD,"W,7-3",9.0,9,3,2,1,4,10,0,0,3.92,41,170,107,2,0,0,0,37,0,0,0,0,0,1,0,5,Mike Winters,"T.Gorzelanny (4-60-W), S.Marshall (2), A.Cashner (2), J.Russell (1), C.Marmol (3)"
89,Jul 11,@,LAD,"L,0-7",8.0,8,7,7,0,7,8,1,1,3.96,38,136,84,6,2,0,0,29,1,0,1,0,1,0,1,6,Jerry Layne,"C.Silva (4-17-L), M.Atkins (1), J.Russell (0), S.Marshall (0), B.Howry (1), A.Cashner (0)"
90,Jul 15,1,PHI,"W,12-6",9.0,10,6,6,0,4,11,2,0,3.98,41,160,99,2,0,0,0,37,0,0,0,0,0,0,0,5,Fieldin Culbreth,"R.Dempster (7-60-W), S.Marshall (3-H), J.Berg (5), B.Howry (3), A.Cashner (3)"
91,Jul 16,1,PHI,"W,4-3",9.0,4,3,3,0,1,14,2,0,3.97,32,134,87,0,0,0,0,31,0,0,0,0,0,0,0,3,Marty Foster,"T.Lilly (6-66), S.Marshall (0-W), C.Marmol (5-Sv)"
92,Jul 17,1,PHI,"L,1-4",9.0,9,4,4,0,8,8,0,1,3.97,43,173,97,6,1,2,2,34,1,0,2,0,0,1,0,5,Gary Cederstrom,"R.Wells (8-66), S.Marshall (0-H), C.Marmol (0-BL), J.Russell (5), A.Cashner (1)"
93,Jul 18,1,PHI,"W,11-6",9.0,9,6,5,1,7,8,3,0,3.99,44,165,99,1,0,3,0,36,1,0,0,0,1,1,0,3,Ed Hickox,"T.Gorzelanny (7-54-W), A.Cashner (0-H), J.Russell (0)"
94,Jul 19,1,HOU,"L,5-11",9.0,17,11,11,0,6,4,2,0,4.06,49,185,114,0,0,0,1,43,3,1,0,0,0,2,2,4,Tony Randazzo,"C.Silva (7-17-L), M.Atkins (7), J.Berg (3), B.Howry (3)"
95,Jul 20,1,HOU,"W,14-7",9.0,8,7,4,3,4,5,1,1,4.06,41,150,98,0,0,1,0,36,2,0,0,0,0,1,0,4,Brian Gorman,"R.Dempster (4-26), A.Cashner (1-W), S.Marshall (2-H), C.Marmol (2)"
96,Jul 21,1,HOU,"L,3-4",12.0,11,4,4,0,2,10,1,0,4.05,48,171,122,5,2,1,0,46,1,0,0,0,0,0,1,8,Paul Nauert,"T.Lilly (4-65), S.Marshall (0), C.Marmol (0), A.Cashner (0), J.Berg (1), B.Howry (1-L), J.Russell (2), J.Stevens (16)"
97,Jul 23,1,STL,"W,5-0",9.0,5,0,0,0,5,9,0,0,4.00,35,139,85,0,0,2,0,30,0,0,0,0,0,0,1,2,Alfonso Marquez,"R.Wells (5-71-W), S.Marshall (1)"
98,Jul 24,1,STL,"W,6-5",9.0,11,5,5,0,4,5,0,0,4.01,40,152,98,2,1,0,1,34,2,0,0,0,2,1,2,4,Tim Tschida,"T.Gorzelanny (5-46-W), J.Russell (2), A.Cashner (2-H), C.Marmol (2-Sv)"
